zone_id,weighted_inflow,downstream_count,pagerank,weighted_inflow_norm,pagerank_norm,sequential_centrality,visits,unique_users,latitude,longitude,category_count
882a10089bfffff,8.365883417590833e-05,1,0.010233024684479815,0.0457318649995466,0.07298503193483796,0.05390781508013401,1068,165,40.77780471530899,-73.94992965926966,6
882a10725bfffff,7.746560527521537e-05,2,0.010705757495952348,0.042346353943986816,0.08032332163585706,0.05373944425154789,4777,681,40.75767247952062,-73.99122863832949,6
882a100d85fffff,5.898753088342915e-05,1,0.010891800913211128,0.03224536685922899,0.0832112965334739,0.04753514576150246,318,28,40.69004435943397,-73.95206634122641,5
882a100d25fffff,5.6166268201381294e-05,1,0.00792549277933709,0.03070313159651448,0.03716492974744044,0.03264167104179227,2892,465,40.74391609726141,-73.99693233284232,6
882a100d2bfffff,3.5652603526915974e-05,1,0.007860732889310405,0.019489394843190542,0.036159653992322766,0.024490472587930207,1023,232,40.7409957187781,-73.97807277117302,6
882a10710dfffff,0.0,0,0.0055313270481522365,0.0,0.0,0.0,187,32,40.744915910695184,-74.16956575834224,5
882a107467fffff,0.0,0,0.0055313270481522365,0.0,0.0,0.0,110,20,40.60807361354546,-74.00308008381818,4
882a1046adfffff,0.0,0,0.0055313270481522365,0.0,0.0,0.0,285,48,40.83990157666666,-74.15820647347368,4
882a1072e7fffff,0.0,0,0.0055313270481522365,0.0,0.0,0.0,604,59,40.71812158635762,-74.04063833172185,5
882a10465dfffff,0.0,0,0.0055313270481522365,0.0,0.0,0.0,98,14,40.89272841959183,-74.11455888357142,3
882a100a95fffff,0.0,0,0.0055313270481522365,0.0,0.0,0.0,340,13,40.81992738002941,-73.90941028717647,4
882a100d9dfffff,0.0,0,0.0055313270481522365,0.0,0.0,0.0,191,19,40.67801212900524,-73.92777082513089,5
882a100545fffff,0.0,0,0.0055313270481522365,0.0,0.0,0.0,141,9,40.76691105475177,-73.74651404035461,4
882a100a1dfffff,0.0,0,0.0055313270481522365,0.0,0.0,0.0,36,8,40.878399083333335,-73.92170131722223,3
882a10549dfffff,0.0,0,0.0055313270481522365,0.0,0.0,0.0,462,96,40.91622143564935,-74.07554473006492,5
882a107451fffff,0.0,0,0.0055313270481522365,0.0,0.0,0.0,135,22,40.595191366592594,-73.95296898881482,4
882a100dd3fffff,0.0,0,0.0055313270481522365,0.0,0.0,0.0,183,35,40.67876223551913,-73.90401866562841,3
882a100da7fffff,0.0,0,0.0055313270481522365,0.0,0.0,0.0,849,221,40.68276082365135,-73.97721876910482,5
882a1008b9fffff,0.0,0,0.0055313270481522365,0.0,0.0,0.0,1019,235,40.783142930657505,-73.97959312625123,6
882a100893fffff,0.0,0,0.0055313270481522365,0.0,0.0,0.0,1202,218,40.772572331955075,-73.95638788377704,5
882a100d61fffff,0.0,0,0.0055313270481522365,0.0,0.0,0.0,3832,559,40.761040933444676,-73.97309180203548,6
